168,491,0.04
185,27,0.0
159,28,0.0
498,50,0.0
348,8,0.0
482,23,0.0
382,496,0.04
192,486,0.04
402,32,0.0
491,30,0.0
97,482,0.04
109,48,0.0
76,43,0.0
141,20,0.0
265,25,0.0
22,15,0.0
279,55,0.0
19,480,0.04
62,27,0.0
184,43,0.0
430,483,0.04
398,481,0.04
491,46,0.0
334,46,0.0
153,69,0.0
474,14,0.0
443,54,0.0
338,27,0.0
162,58,0.0
119,484,0.04
429,65,0.0
176,9,0.0
195,13,0.0
265,57,0.0
353,495,0.04
453,54,0.0
176,5,0.0
182,37,0.0
195,21,0.0
453,66,0.0
300,21,0.0
256,57,0.0
215,35,0.0
100,10,0.0
332,50,0.0
5,3,0.0
254,484,0.04
190,48,0.0
326,4,0.0
465,2,0.0
357,476,0.04
457,21,0.0
301,66,0.0
416,51,0.0
97,475,0.04
0,35,0.0
339,65,0.0
295,18,0.0
284,486,0.04
237,63,0.0
17,60,0.0
75,483,0.04
235,15,0.0
477,14,0.0
425,44,0.0
193,477,0.04
399,5,0.0
245,27,0.0
450,44,0.0
212,35,0.0
461,36,0.0
190,9,0.0
270,34,0.0
309,36,0.0
381,74,0.0
131,45,0.0
229,1,0.0
163,6,0.0
2,36,0.0
276,9,0.0
422,53,0.0
191,54,0.0
384,72,0.0
212,67,0.0
227,54,0.0
241,7,0.0
80,9,0.0
485,70,0.0
148,48,0.0
309,21,0.0
172,487,0.04
30,56,0.0
322,491,0.04
488,73,0.0
190,60,0.0
350,47,0.0
31,31,0.0
162,483,0.04
283,54,0.0
197,54,0.0
138,14,0.0
209,40,0.0
81,7,0.0
430,54,0.0
394,23,0.0
269,21,0.0
393,72,0.0
88,39,0.0
170,55,0.0
410,43,0.0
363,16,0.0
46,31,0.0
185,12,0.0
440,48,0.0
357,478,0.04
279,484,0.04
33,28,0.0
137,477,0.04
161,21,0.0
148,45,0.0
4,484,0.04
386,476,0.04
498,481,0.040004
224,68,0.0
421,58,0.0
476,15,0.0
347,49,0.0
241,63,0.0
436,17,0.0
88,8,0.0
147,70,0.0
78,20,0.0
478,37,0.0
64,481,0.040047999999999966
195,2,0.0
170,52,0.0
317,23,0.0
371,43,0.0
202,9,0.0
479,19,0.0
137,73,0.0
254,491,0.04
52,57,0.0
376,41,0.0
194,477,0.04
377,63,0.0
305,21,0.0
131,65,0.0
206,16,0.0
155,19,0.0
178,3,0.0
286,495,0.04
462,23,0.0
429,55,0.0
455,9,0.0
265,57,0.0
484,69,0.0
122,482,0.04
425,12,0.0
316,4,0.0
405,64,0.0
211,15,0.0
21,71,0.0
462,42,0.0
382,43,0.0
190,9,0.0
293,57,0.0
34,51,0.0
13,36,0.0
255,59,0.0
8,498,0.04
320,17,0.0
216,52,0.0
275,50,0.0
293,74,0.0
457,18,0.0
460,19,0.0
460,484,0.04
382,35,0.0
421,475,0.04
122,495,0.04
323,43,0.0
141,55,0.0
16,62,0.0
259,481,0.040251999999999816
367,485,0.04
320,479,0.04
497,53,0.0
360,48,0.0
416,54,0.0
162,31,0.0
311,478,0.04
220,74,0.0
292,12,0.0
374,67,0.0
206,2,0.0
306,35,0.0
60,54,0.0
1,10,0.0
161,497,0.04
93,21,0.0
63,17,0.0
347,21,0.0
254,481,0.04032799999999976
122,486,0.04
59,493,0.04
322,60,0.0
453,477,0.04
282,34,0.0
136,19,0.0
448,64,0.0
185,6,0.0
355,487,0.04
55,73,0.0
181,33,0.0
371,13,0.0
281,42,0.0
478,56,0.0
25,71,0.0
496,35,0.0
440,499,0.04
40,492,0.04
15,476,0.04
274,45,0.0
486,491,0.040004
94,498,0.04
207,44,0.0
452,26,0.0
443,486,0.04
301,61,0.0
193,35,0.0
180,499,0.04
279,478,0.04
422,480,0.04
108,74,0.0
111,25,0.0
24,11,0.0
92,25,0.0
325,0,0.0
454,13,0.0
229,74,0.0
316,46,0.0
425,45,0.0
405,42,0.0
386,10,0.0
269,54,0.0
115,39,0.0
476,24,0.0
25,23,0.0
61,55,0.0
411,477,0.04
109,56,0.0
118,10,0.0
281,30,0.0
350,43,0.0
97,497,0.04
260,72,0.0
444,42,0.0
192,73,0.0
399,33,0.0
10,43,0.0
340,23,0.0
407,481,0.040563999999999586
349,30,0.0
257,18,0.0
404,58,0.0
65,38,0.0
384,22,0.0
267,48,0.0
192,19,0.0
124,74,0.0
81,26,0.0
138,480,0.04
287,19,0.0
272,32,0.0
437,26,0.0
379,27,0.0
335,29,0.0
385,38,0.0
362,69,0.0
